Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Direction
LOC113712194	104.503636877836	-2.44014721673632	0.302088884869197	-8.07758027175642	6.60645411978788e-16	2.32890720630762e-11	Down
LOC113693854	500.871755495208	-2.62902808080532	0.349281361275871	-7.52696356656961	5.193385343573e-14	9.15386100658176e-10	Down
LOC113698731	464.731160420828	-1.44839365351629	0.215339364136777	-6.72609793997683	1.74273285287023e-11	2.04782728431271e-07	Down
LOC113738704	852.056202168939	-1.16443417266056	0.18877511406261	-6.16836693990479	6.89988769020172e-10	6.08087102137477e-06	Down
LOC113738600	4374.64617160362	-1.7730627550536	0.292130389035771	-6.06942249625558	1.2837102393604e-09	9.05067067158655e-06	Down
LOC140009485	1933.89258941291	0.775053333609833	0.129413559878006	5.98896540934697	2.11180067278457e-09	1.24075328861669e-05	Up
LOC113693922	1822.09494813595	-0.950812719960733	0.160891771905458	-5.9096416721636	3.42852703182857e-09	1.72660621322887e-05	Down
LOC113730736	1759.42700284963	-0.70604557089049	0.120273851297027	-5.87031647591335	4.34964032855403e-09	1.91666901077733e-05	Down
LOC113733249	1635.9719945316	-0.58285695568726	0.100347535824915	-5.80838334390416	6.30789570805035e-09	2.22365939500191e-05	Down
LOC113701059	472.196881482798	1.21506589260265	0.208957436658676	5.8148966221643	6.06713689090368e-09	2.22365939500191e-05	Up
LOC113740034	1424.83616664802	-0.856737126584272	0.14792528039494	-5.7916883733254	6.96823451523311e-09	2.2331291193727e-05	Down
LOC113733780	267.636873691328	1.8157687061484	0.316628297897394	5.73470128288033	9.76843548930497e-09	2.86964073224149e-05	Up
LOC113703940	6017.15191833491	-0.674669141411051	0.119270058205659	-5.65665139734994	1.54354824643295e-08	4.18562790640419e-05	Down
LOC113741493	1753.89273982736	-1.64233425713342	0.293657299191879	-5.5926900562424	2.23578201519473e-08	5.28757505573472e-05	Down
LOC140016322	288.023923029908	1.03385126583429	0.184893734207348	5.59159708827603	2.24990428446672e-08	5.28757505573472e-05	Up
LOC113742777	1291.31427930866	-0.777138493796091	0.139642328860747	-5.56520719853549	2.61841099314172e-08	5.76901402063949e-05	Down
LOC113716108	1855.88317314863	-0.555954035031145	0.100182178553065	-5.54943047816298	2.86601690519443e-08	5.94310752599493e-05	Down
LOC113717798	978.35055077187	-0.832662986357138	0.150611846883911	-5.52853579306376	3.22914548200151e-08	6.32410202952874e-05	Down
LOC113694121	3725.68404066016	-1.32236095783012	0.241816884111221	-5.46843932213564	4.54015434963966e-08	8.42365900702617e-05	Down
LOC113699070	903.674124561244	-0.595616808438628	0.109236225076127	-5.45255759271746	4.96504841374783e-08	8.75139433407193e-05	Down
LOC140004291	283.587983601391	1.34843421696933	0.248769041439216	5.42042614775604	5.94571314358867e-08	9.98087046370418e-05	Up
LOC113703629	2782.74511629917	0.531851676704355	0.0992663287424135	5.35782559345433	8.42294874088376e-08	0.000123719078755681	Up
LOC140014005	110.926136884473	2.28133533464813	0.425386425942617	5.36297163124776	8.18638672215928e-08	0.000123719078755681	Up
LOC113714575	1384.58402471868	0.636279859291983	0.118481272685119	5.37029899217059	7.86062059841384e-08	0.000123719078755681	Up
LOC113716386	93.9200169742492	-1.681199457033	0.316296128776003	-5.31527041933418	1.06499047471726e-07	0.000150172176858932	Down
LOC113725302	225.0026882441	-1.6380057277652	0.311409445326228	-5.25997445597466	1.44075414774859e-07	0.000195344096986283	Down
LOC113725404	1710.23242491066	0.74741933388912	0.142813715785103	5.2335262742816	1.66306353860113e-07	0.000216119405032253	Up
LOC113723016	1088.08058822327	-0.881354358668217	0.168594108832267	-5.22766996292302	1.71659575085189e-07	0.000216119405032253	Down
LOC113697124	1465.78032066263	-0.754508872774912	0.145286357917933	-5.19325340374425	2.0665060340971e-07	0.000238852679223847	Down
LOC113716505	874.716498102785	-1.56140501949657	0.300192010184499	-5.20135435495742	1.9784147932339e-07	0.000238852679223847	Down
LOC140016790	109.246721319142	-1.225900186285	0.236194148256834	-5.19022251538586	2.10042921137503e-07	0.000238852679223847	Down
LOC140013106	112.347257272759	-2.08677904294526	0.40352808820087	-5.17133528981628	2.3242709155249e-07	0.000256047494731512	Down
LOC113711780	93.6974624327413	1.71725782665272	0.333463994385812	5.14975486278704	2.60827130541486e-07	0.000278626606237832	Up
LOC113697313	82.4767629354312	-1.43396683096149	0.280526398693349	-5.11170013817129	3.19272332894499e-07	0.000312638563311024	Down
