Geneid	KO	log2FoldChange	padj	Description
LOC113711535	K13448	1.38887512930139	0.0190143803400982	EF-hand domain
LOC113715121	K13448	1.32282768279469	0.00119537843678118	calcium-binding protein
LOC113733889	K02183	0.650333941189355	0.0974501826532762	EF-hand domain
LOC113733889	K16465	0.650333941189355	0.0974501826532762	EF-hand domain
LOC140005993	K05391	-0.272157302777751	0.0638429626218876	cyclic nucleotide-gated ion channel 20, chloroplastic
LOC113743770	K18835	-0.340451018468321	0.0417957518302074	WRKY Transcription Factor
LOC113743770	K18835	-0.340451018468321	0.0417957518302074	WRKY transcription factor
LOC113743770	K18835	-0.340451018468321	0.0417957518302074	WRKY transcription factor 2
LOC113740382	K13412	-0.431541882497021	0.0832395540548468	Lipopolysaccharide kinase (Kdo/WaaP) family
LOC140007751	K04730	-0.684391696561086	0.0422113561780277	LRR receptor-like serine threonine-protein kinase At3g47570
LOC140007751	K04733	-0.684391696561086	0.0422113561780277	LRR receptor-like serine threonine-protein kinase At3g47570
LOC140007751	K13420	-0.684391696561086	0.0422113561780277	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113739669	K13447	-0.8809559618158	0.00331123476008916	respiratory burst oxidase homolog protein
LOC113743418	K04730	-0.968080626843516	0.00241993033956959	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113743418	K04733	-0.968080626843516	0.00241993033956959	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113743418	K13420	-0.968080626843516	0.00241993033956959	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113732630	K04730	-1.02162833260305	0.0944166178110238	LRR receptor-like serine threonine-protein kinase
LOC113732630	K04733	-1.02162833260305	0.0944166178110238	LRR receptor-like serine threonine-protein kinase
LOC113732630	K13420	-1.02162833260305	0.0944166178110238	LRR receptor-like serine threonine-protein kinase
LOC113716172	K04730	-1.02750219513303	0.0835796622572774	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113716172	K04733	-1.02750219513303	0.0835796622572774	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113716172	K13420	-1.02750219513303	0.0835796622572774	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113732736	K04730	-1.07170471881049	0.00743194006481517	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113732736	K04733	-1.07170471881049	0.00743194006481517	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113732736	K13420	-1.07170471881049	0.00743194006481517	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113715802	K04730	-1.51116350130373	0.0931544965344802	Serine-threonine protein kinase, plant-type
LOC113715802	K04733	-1.51116350130373	0.0931544965344802	Serine-threonine protein kinase, plant-type
LOC113715802	K13420	-1.51116350130373	0.0931544965344802	Serine-threonine protein kinase, plant-type
LOC113711758	K13416	-1.86761705541081	0.0232542587555269	Somatic embryogenesis receptor kinase
LOC113716646	K04730	-1.9271473561072	0.0642448308856473	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113716646	K04733	-1.9271473561072	0.0642448308856473	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113716646	K13420	-1.9271473561072	0.0642448308856473	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113709404	K04730	-1.95183331052691	0.0642304037820897	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113709404	K04733	-1.95183331052691	0.0642304037820897	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113709404	K13420	-1.95183331052691	0.0642304037820897	LRR receptor-like serine threonine-protein kinase At3g47570
LOC113709404	K04733	-1.95183331052691	0.0642304037820897	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
LOC113709404	K13420	-1.95183331052691	0.0642304037820897	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
LOC113692322	K02183	-2.17857057558408	0.0218288139524506	Calmodulin-like protein
LOC113692322	K13448	-2.17857057558408	0.0218288139524506	Calmodulin-like protein
LOC113717586	K04730	-2.50200502231641	0.0665738305677454	Serine-threonine protein kinase, plant-type
LOC113717586	K04733	-2.50200502231641	0.0665738305677454	Serine-threonine protein kinase, plant-type
LOC113717586	K13420	-2.50200502231641	0.0665738305677454	Serine-threonine protein kinase, plant-type
