Geneid	KO	log2FoldChange	padj	Description
LOC113714465	K08903	0.858672970883655	0.014940545056891	Photosystem II reaction center Psb28 protein
LOC140013603	K08903	0.809287870198655	0.0849279850062865	Photosystem II reaction center Psb28 protein
LOC113707979	K08906	0.802162253379994	0.0957880560390334	Cytochrome c6, chloroplastic
LOC113706918	K02109	0.72466262509967	0.0526485039287135	ATP synthase subunit b'
LOC113731886	K02639	0.701444430722164	0.0085221642995554	Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions
LOC140004048	K08901	0.58738541342826	0.0813859153085882	psbQ-like protein 1
LOC113713228	K02113	0.56745572898927	0.0417957518302074	ATP synthase delta chain, chloroplastic
LOC113689677	K08902	0.549236904526308	0.0957880560390334	Photosystem II Pbs27
LOC113705601	K02639	0.475890604975976	0.0878537423012294	Ferredoxins are iron-sulfur proteins that transfer electrons in a wide variety of metabolic reactions
LOC113743395	K08902	0.467953173087895	0.0816881277056324	Photosystem II Pbs27
LOC113709724	K02115	0.465173985620444	0.0662089728633212	ATP synthase gamma chain
LOC113709724	K08341	0.465173985620444	0.0662089728633212	ATP synthase gamma chain
LOC140006750	K08901	0.364826994468211	0.0570381947169952	Oxygen evolving enhancer protein 3 (PsbQ)
LOC113723029	K02114	-0.985816453598925	0.0117821431751317	ABC transporter
LOC113723029	K05658	-0.985816453598925	0.0117821431751317	ABC transporter
LOC113698731	K02114	-1.44839365351629	2.04782728431271e-07	ABC transporter
LOC113698731	K05658	-1.44839365351629	2.04782728431271e-07	ABC transporter
