Geneid	KO	log2FoldChange	padj	Description
LOC113709508	K02887	0.994636440809828	0.0351992411382883	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit
LOC113705692	K02896	0.934320507103393	0.0520031163510299	60S ribosomal Protein
LOC113707663	K02912	0.906302166336553	0.0404950264678813	60s ribosomal protein
LOC113717288	K02980	0.904236512108638	0.0645476324194307	ribosomal protein
LOC113717288	K20308	0.904236512108638	0.0645476324194307	ribosomal protein
LOC113708803	K02923	0.887593212010477	0.0314987786365389	Belongs to the eukaryotic ribosomal protein eL38 family
LOC113707616	K02955	0.877995470352956	0.0576482564689645	Belongs to the universal ribosomal protein uS11 family
LOC113708613	K02864	0.848716575155946	0.0676833214398174	Ribosomal protein L10
LOC113710923	K02926	0.779672970266593	0.000786465738910662	Ribosomal protein L4
LOC113694981	K02916	0.750483312270511	0.000312638563311024	Belongs to the bacterial ribosomal protein bL35 family
LOC113726989	K02906	0.729828522498114	0.00853910146845156	Belongs to the universal ribosomal protein uL3 family
LOC113725537	K02918	0.725264486004478	0.0492889987289181	60S ribosomal protein
LOC113730315	K02926	0.716692249882261	0.00942667669916558	Ribosomal protein L4
LOC113731924	K02925	0.716561930221096	0.058285931106485	Belongs to the universal ribosomal protein uL3 family
LOC113741169	K02881	0.682530001000626	0.0102696860910091	50S ribosomal protein L18
LOC113701215	K02904	0.680094198295137	0.00357839512343137	50S ribosomal protein L29
LOC113734315	K02902	0.67721829888784	0.0302059278011797	Ribosomal L28 family
LOC140034974	K02918	0.672536396748616	0.029100311143209	60S ribosomal protein
LOC113727208	K02939	0.672254941270124	0.0857307738928291	ribosomal protein L9
LOC140016209	K02908	0.661823961196348	0.0122120027283117	60S ribosomal protein
LOC113691830	K02916	0.646401404337254	0.00241993033956959	Belongs to the bacterial ribosomal protein bL35 family
LOC113731055	K02914	0.644889810781728	0.00641985237392387	ribosomal protein L34
LOC140005114	K02961	0.633884679345131	0.0116549014918712	Belongs to the universal ribosomal protein uS17 family
LOC140011451	K02888	0.626137006651086	0.00241633491518208	ribosomal protein L21
LOC140007839	K02968	0.625866837792584	0.00641985237392387	30S ribosomal protein S20
LOC113732139	K02906	0.623635280208564	0.0132250527360386	Belongs to the universal ribosomal protein uL3 family
LOC113727689	K02891	0.620635886246875	0.0979573239154619	60S ribosomal protein
LOC140035054	K02914	0.618630487708356	0.0468760740788261	ribosomal protein L34
LOC140035201	K02925	0.617276065312108	0.0699884127869529	Belongs to the universal ribosomal protein uL3 family
LOC113719514	K02876	0.614338435056204	0.00331123476008916	Belongs to the universal ribosomal protein uL15 family
LOC113693926	K02981	0.600564722468574	0.0312801919486393	isoform X1
LOC113693926	K21842	0.600564722468574	0.0312801919486393	isoform X1
LOC113726926	K02881	0.600189782680821	0.00309165977462427	Ribosomal L18 of archaea, bacteria, mitoch. and chloroplast
LOC140013008	K02990	0.58549355478898	0.0570889701469349	30S ribosomal protein S6 alpha
LOC113717903	K02979	0.581229162744211	0.0256500759291853	Ribosomal protein S28e
LOC113704302	K02990	0.579288931714375	0.0359206367879534	30S ribosomal protein S6 alpha
LOC113742216	K02961	0.568884308861033	0.0204553162818416	Belongs to the universal ribosomal protein uS17 family
LOC140006728	K02968	0.566889546230626	0.0208710342279848	30S ribosomal protein S20
LOC113698158	K02898	0.565927237383857	0.0208710342279848	60S ribosomal Protein
