Geneid	KO	log2FoldChange	padj	Description
LOC113704390	K02884	0.563769842594126	0.0308408709676437	50S ribosomal protein
LOC113738507	K02881	0.553680568247236	0.0666282909655537	50S ribosomal protein L18
LOC113726036	K02988	0.54377969414501	0.00178260191144501	Belongs to the universal ribosomal protein uS5 family
LOC113743388	K02946	0.537346054230354	0.012729360620591	30S ribosomal protein S10
LOC113722885	K02899	0.532692132999395	0.00258688344398512	50S ribosomal protein L27
LOC140036651	K02988	0.527306805485881	0.0115113640744143	Belongs to the universal ribosomal protein uS5 family
LOC113694893	K02965	0.508376867869854	0.0964973523275235	Belongs to the universal ribosomal protein uS19 family
LOC113733229	K02931	0.507701252636914	0.00513249299520544	50S ribosomal protein L5
LOC113688318	K02871	0.498909770959739	0.0341526403936426	Belongs to the universal ribosomal protein uL13 family
LOC113706906	K02884	0.495936096967974	0.00847112394521253	50S ribosomal protein
LOC113710358	K02923	0.492265272137497	0.0563461361636574	Belongs to the eukaryotic ribosomal protein eL38 family
LOC113727141	K02863	0.489291971776697	0.049440416031033	Belongs to the universal ribosomal protein uL1 family
LOC113731703	K02879	0.485998878814849	0.0118083631589972	Belongs to the bacterial ribosomal protein bL17 family
LOC113717192	K02876	0.480783532592856	0.0348060377581402	Belongs to the universal ribosomal protein uL15 family
LOC113735232	K02883	0.478418966835499	0.0991626280300362	60s ribosomal protein
LOC113688877	K02946	0.47436934047749	0.0171520657815311	30S ribosomal protein S10
LOC113717830	K02952	0.471304545235842	0.0361969906899995	Belongs to the universal ribosomal protein uS13 family
LOC113712460	K02879	0.470483122945419	0.0766401233105473	Belongs to the bacterial ribosomal protein bL17 family
LOC113710200	K02864	0.448021487457893	0.0979874272231662	Ribosomal protein L10
LOC113728114	K02931	0.432878836143486	0.0169252014011756	50S ribosomal protein L5
LOC113697242	K02989	0.425722818585258	0.0893506551426675	Belongs to the universal ribosomal protein uS7 family
LOC113735244	K02933	0.419986330248243	0.0231982794486439	Belongs to the universal ribosomal protein uL6 family
LOC140007824	K02871	0.392169942098803	0.0761995099648854	Belongs to the universal ribosomal protein uL13 family
LOC140004003	K02952	0.38391099526432	0.0869373576137514	Belongs to the universal ribosomal protein uS13 family
LOC113713270	K02912	0.375434087917907	0.0879769988524193	60s ribosomal protein
LOC113735256	K02933	0.323378717521803	0.088362695030187	Belongs to the universal ribosomal protein uL6 family
LOC113722450	K02867	0.319903833544331	0.0880664276620909	Belongs to the universal ribosomal protein uL11 family
LOC113730926	K02987	-0.465200061395691	0.0979573239154619	Zinc-finger domain of monoamine-oxidase A repressor R1
LOC113730926	K15601	-0.465200061395691	0.0979573239154619	Zinc-finger domain of monoamine-oxidase A repressor R1
